transaction_id,dacd te,customer_id,amount,type,description,Usia,Jenis_Kelamin,Pendapatan_Bulanan,Saldo_Rekening,Riwayat_Pinjaman,Frekuensi_Transaksi,Jenis_Transaksi_Favorit,Minat_Investasi,Produk_Direkomendasikan
5410,2019-12-31,107,9319.08,credit,Challenge increase high born way bar.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
5491,2022-07-07,108,7567.49,debit,Before fly wait reason once.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
5608,2020-11-22,101,7295.98,debit,Though direction into what.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
5682,2022-12-23,107,7188.01,transfer,Example week early customer eat color appear.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
5764,2019-11-14,102,6622.4,debit,Foot story note Democrat best analysis.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
5778,2022-08-18,101,4601.87,debit,Others anyone where three almost team shoulder should.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
6126,2022-09-19,107,7374.55,credit,Once guess serious east.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
6349,2022-03-26,107,8508.34,debit,New series low watch Republican light there account.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
6507,2018-09-29,103,4444.92,debit,Western particular difficult thus.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
6511,2023-01-18,102,1603.09,debit,Bring to word history majority.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
6748,2021-11-01,110,7181.2,debit,Stop very training network.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
6751,2022-03-09,104,8876.41,debit,Their available free radio.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
6820,2023-03-21,106,3162.98,credit,Not nature consider election station financial.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
6846,2022-06-20,108,6256.1,credit,Their thank visit.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
6884,2019-08-06,101,4463.91,credit,Field edge light without find contain everyone.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
6885,2022-10-17,105,4725.5,transfer,Picture for point should.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
6893,2020-03-04,109,3988.46,transfer,Bill green new serious deep avoid.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
7335,2019-03-26,109,7959.2,credit,Explain Mr new something.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
7506,2019-07-02,103,6776.7,debit,Control first staff trouble.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
7587,2022-07-29,104,8894.17,transfer,Several sometimes successful by.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
7800,2021-06-30,104,6745.04,credit,More bit yet data all.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
7815,2022-09-09,106,7178.04,debit,Thing before fall same parent according safe.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
8069,2020-08-20,102,9912.79,credit,Know add something.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
8071,2021-06-26,109,4494.83,debit,Business information worker each beyond control claim wall.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
8346,2022-09-16,105,3576.57,credit,Common town air usually under visit.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
8551,2022-10-09,109,4089.62,debit,Difference soon her quality culture care.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
8590,2018-10-14,103,3387.2,transfer,Character goal family tree benefit with.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
8617,2018-08-26,105,3035.57,transfer,Draw me ball air likely indeed fund.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
8742,2020-10-31,110,815.36,transfer,Lawyer power hand.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
8808,2018-07-20,103,1344.44,credit,Even black story artist total memory.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
8892,2020-01-12,108,2509.14,debit,Mother find blue training enough some.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
9086,2021-05-04,108,4505.8,credit,Maybe recent fire together fall Mr range here.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
9171,2020-12-12,107,8826.89,credit,Per agreement usually mother radio force eight.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
9347,2022-04-28,102,900.07,credit,Particularly region only full must decide.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
9435,2020-06-13,109,1776.36,debit,Their national work play issue ball.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
9707,2018-10-01,104,2071.99,transfer,All instead she serve note truth bit.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
9710,2022-09-05,103,2728.98,credit,Push teach ever yet them miss this.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
9734,2018-04-18,106,7511.54,credit,Manager nor peace like defense image Mr good.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
9764,2018-12-02,101,8715.44,transfer,North attorney or light.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
9855,2020-01-06,110,3119.19,debit,Without similar traditional must.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
9934,2019-04-05,105,222.51,transfer,Actually hair lay just.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
10197,2023-02-28,107,7618.43,credit,Successful prepare yet sign site.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
10208,2021-06-04,109,7293.64,credit,Including understand machine bed network understand.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
10271,2018-03-31,106,5748.81,credit,Think ground seven red white provide.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
10405,2018-07-08,108,440.69,debit,Yes magazine health leader reveal way.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
10422,2018-05-18,107,5517.27,credit,Soldier lot threat deep land the coach.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
10467,2021-01-22,106,6449.24,credit,Adult capital morning machine impact.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
10509,2023-02-17,105,926.3,transfer,Class poor team like level include.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
10675,2021-03-19,106,8348.41,debit,Town nation employee pull far ever trial.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
10701,2021-04-14,102,6798.99,transfer,Always own attorney know.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
10704,2022-11-26,103,3459.27,debit,Technology sell note create go.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
10770,2020-03-05,104,5167.59,debit,Night traditional war something do up pattern.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
10784,2021-07-09,106,1140.17,credit,Child military five music story local meet.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
11040,2019-10-29,106,8816.92,transfer,Serious treat billion box standard fact effort red.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
11048,2022-06-30,108,6882.22,transfer,However employee reduce season choose fill next produce.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
11282,2019-11-30,108,7534.3,transfer,Whom key player give area believe claim.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
11320,2023-01-10,101,1429.13,credit,Station force change perhaps arrive continue.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
11521,2021-01-20,104,2226.66,transfer,Seek simply ahead development.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
11618,2022-01-23,106,4242.83,credit,Leave specific leg also.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
11853,2020-09-12,106,8494.44,credit,Reduce newspaper state and store course.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
11889,2021-10-07,108,4636.9,transfer,System natural action area later include throw.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
11906,2019-02-12,108,516.28,debit,Test door hear.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
11944,2020-03-05,106,6540.69,transfer,Poor two difficult decision.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
12038,2018-12-05,106,2480.71,debit,Seem building realize get week.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
12055,2019-10-11,101,855.12,debit,Focus nothing international.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
12156,2021-05-07,105,7523.44,credit,Risk case tell thought reduce avoid focus.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
12258,2018-10-28,104,1607.78,debit,Less trade glass way different others.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
12464,2019-08-25,104,7880.8,credit,Child number garden owner forward.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
12473,2018-10-11,108,1101.85,credit,Return little week throw reach.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
12500,2018-08-02,110,2904.65,transfer,Yet beat it technology bit.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
12773,2022-07-22,105,7618.53,transfer,Subject white color view about stand thousand why.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
12819,2022-03-23,109,2641.38,debit,Late put north themselves read certainly.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
12916,2022-10-12,103,5365.98,debit,Feel list best case career benefit threat.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
12936,2022-12-02,106,5479.47,credit,Actually fast newspaper safe if.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
12945,2019-08-18,101,5231.27,credit,Often activity ball ball.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
13041,2020-08-31,104,9720.76,debit,Language majority decade lay.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
13249,2018-11-04,109,7285.03,credit,Hit keep yard fish information budget.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
13290,2019-04-04,105,4194.3,debit,Customer common knowledge find smile room.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
13393,2018-10-16,102,2043.65,transfer,Administration meeting forget relate simple until painting.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
13453,2022-03-27,101,5215.82,credit,Action quickly fact under executive may serious.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
13465,2022-12-09,101,8390.01,transfer,Accept actually growth experience strong modern father address.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
13480,2021-02-12,107,2029.06,debit,Against deal result manager push air process I.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
13610,2021-01-25,101,3785.79,transfer,Program loss analysis type.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
13888,2020-12-28,102,6008.18,credit,Read yourself why pattern water.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
14032,2022-04-24,104,2945.74,debit,Knowledge figure usually wide.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
14092,2019-09-20,104,3401.96,debit,Provide agent per he they government within.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
14093,2018-05-08,109,6195.8,debit,Test today describe past.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
14156,2020-09-27,103,5175.89,transfer,Back five into have yet road growth nearly.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
14168,2019-03-07,102,1838.03,debit,Citizen cut into guess visit mention.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
14275,2020-05-09,102,972.97,credit,Oil now parent west eat wind down nature.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
14284,2019-11-06,104,146.31,transfer,Evidence form region Mrs various focus coach.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
14320,2019-08-01,103,4709.4,credit,Year who war yard yet station.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
14332,2018-06-15,104,4898.73,credit,Ago benefit give risk.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
14359,2018-12-17,107,7407.52,credit,Great good sing personal impact.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
14697,2022-11-04,102,5613.82,debit,Important key air event affect risk Democrat animal.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
14759,2022-10-10,108,4338.88,transfer,Later class scene push note thank hundred.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
15021,2021-08-01,107,6897.19,credit,Account wear attack job report truth.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
15045,2018-08-25,104,8220.51,debit,Bit commercial have firm other.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
15141,2021-03-03,105,7470.54,transfer,Chance forward wife allow research you result.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
15466,2019-09-16,108,6378.64,credit,Artist responsibility sing piece specific break.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
15510,2020-10-26,107,7885.34,transfer,Against address interesting continue policy size.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
15536,2021-10-10,105,1458.37,transfer,Field street opportunity attack opportunity group my.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
15628,2020-05-28,105,298.99,credit,Evening nice who foot.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
15717,2021-05-02,110,4679.41,credit,Fear hour just individual north pattern young every.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
15745,2020-06-25,109,1181.59,credit,Tough style less partner.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
15748,2022-10-28,107,679.3,credit,Sort happen serve bed point question together letter.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
15799,2018-10-17,105,8140.05,transfer,Open fly represent.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
15856,2018-06-03,104,8318.91,credit,List top allow environment.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
15921,2018-09-20,102,3844.59,debit,Learn power camera television staff name seven outside.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
15960,2022-12-09,108,2138.2,credit,For alone sign.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
15964,2019-11-22,105,3173.19,debit,Boy opportunity issue key structure treat ahead during.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
15992,2020-12-12,109,7127.19,credit,Her standard information industry.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
16036,2021-01-13,104,8874.42,transfer,Much charge book stand end study against.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
16161,2020-01-09,102,2405.23,credit,Serious feeling from product popular upon tough.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
16164,2022-11-22,109,7167.63,transfer,Guy above left admit find.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
16202,2018-07-29,110,8902.63,debit,Director director consider speak.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
16301,2019-09-25,108,9054.76,credit,Tree national billion side open.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
16333,2020-01-08,105,9899.36,debit,Why play million why audience.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
16381,2019-07-10,104,6415.65,credit,Article where baby quickly perform.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
16437,2019-01-14,110,4062.31,debit,Apply campaign speech although care must husband husband.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
16591,2023-02-14,110,1242.87,transfer,Product hear interesting seem first.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
16600,2022-11-28,105,676.36,transfer,Ten develop them offer.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
16606,2018-05-23,101,5617.42,debit,Reason rate church seek economy responsibility.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
16647,2020-12-07,109,3247.65,debit,White view know man.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
16862,2019-08-13,104,1700.85,credit,Threat already could some fast grow morning individual.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
16893,2019-08-07,107,3601.23,debit,Probably gun go keep that number story exactly.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
16930,2022-10-13,101,756.15,debit,Meeting land business.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
16956,2018-11-02,104,8227.63,debit,Inside big its popular.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
17352,2018-08-09,104,1989.18,transfer,Social station save safe else these onto rate.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
17439,2021-07-27,101,249.84,transfer,Modern put difference relationship.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
17500,2020-07-13,103,3575.41,credit,Summer eight sport mission nor argue build.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
17627,2018-09-23,107,6610.06,credit,His parent ground teacher claim.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
17671,2022-12-18,101,8313.7,credit,Hospital present another task might.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
17720,2021-07-02,110,5303.6,credit,During indicate catch role art.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
17749,2023-02-26,110,6987.62,credit,World lay hair share.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
17777,2018-05-03,106,5960.89,transfer,Beautiful source nice allow project enter street event.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
17820,2021-04-13,106,9974.77,credit,Soon drug provide account table.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
17906,2022-01-27,110,2231.74,credit,Political statement short difficult.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
17925,2022-08-23,110,7447.75,credit,Simply people reality security.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
18002,2021-05-01,107,2292.5,transfer,Production mention late ball.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
18129,2018-05-13,108,5234.11,transfer,Too box couple trip.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
18169,2020-02-19,107,8579.44,debit,Political power upon western.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
18189,2019-03-13,109,3435,credit,Perhaps it walk start end.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
18244,2021-12-25,104,7794.63,credit,Possible apply detail return.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
18399,2023-02-12,108,6960.58,transfer,Hit building must room high manager change.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
18462,2022-04-17,107,1332.16,credit,Our government reason.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
18565,2019-01-24,106,7846.07,debit,Buy present share ahead.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
18590,2019-08-10,110,7755.09,debit,Discuss others night north lose agency physical.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
18605,2019-08-06,110,4227.84,credit,Here page agreement player wait structure hour student.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
18607,2018-11-12,101,7668.03,transfer,Pm question away than.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
18637,2022-09-28,101,3936.85,transfer,Feel third strong lay mouth.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
